,Podcast name,Episode name,Dominant topic,Episode duration (in mins),Description of the episode,url of the podcast episodes
10,Revise - A Level Geography Revision,The Water Cycle: The Drainage Basin 🛁 - A Level Geography Learning & Revision,3,6,"Catherine looks at the drainage basin for your A Level Geography exam. In this episode, she will look at the different inputs, outputs and flows in the drainage basin, as well as human and physical factors affecting these flows. Ideal for preparing you for your A Level Geography exam.",https://anchor.fm/revisealevelgeog/episodes/A-Level-Geography---Coastal-Landscapes-ekr1ev
11,Revise - A Level Geography Revision,A Level Geography - The Drainage Basin,3,6,"Catherine looks at the drainage basin for your A Level Geography exam. In this episode, she will look at the different inputs, outputs and flows in the drainage basin, as well as human and physical factors affecting these flows. Ideal for preparing for your A Level Geography exam.",https://anchor.fm/revisealevelgeog/episodes/A-Level-Geography---Coastal-Landscapes-ekr1ev
12,Unsolved Murders: True Crime Stories,E95: The Wanda Beach Murders,4,37,"Australian teens Christine Sharrock, Marianne Schmidt, and Marianne's four younger siblings set out for the beach. When the younger siblings became tired, the older girls continued on, promising to be back soon. Their bodies were discovered the next day. Were the girls in the wrong place at the wrong time? Or had they accidentally befriended their own killer? .",
13,Unsolved Murders: True Crime Stories,E94: “The Murder Nobody Saw” Pt. 2 - Ken McElroy,4,47,"After years of bullying the residents of Skidmore, Missouri, the townspeople finally stood up to Ken McElroy. In front of dozens of people, Ken McElroy was shot dead while he sat with his wife in his pickup truck. Nobody saw the shooter. Nobody called the sheriff to report the shooting. Nobody was convicted for the crime. Which begs the question: how did an entire town get away with murder? SPONSORS! Madison Reed - Madison Reed would like to honor Unsolved Murders: True Crime Stories listeners with 10% off plus Free Shipping on their first color kit with promo code: UNSOLVED.",
14,Unsolved Murders: True Crime Stories,E72: “A Fiendish Murder” - Rita Bouchard,4,31,"On a chilly February day in 1947, news of an unidentified 17-year-old woman’s body shook the people of Pawtucket, Rhode Island.",
15,Revise - GCSE English Literature Revision,GCSE English Literature - An Inspector Calls - Act 1,5,4,"Catherine looks at a summary of Act 1 in An Inspector Calls, for your GCSE English Literature exam. In this episode, she will look at the dramatic first act of the play, where the characters are introduced and begin to be revealed. Ideal for preparing for your GCSE English Literature exam.",https://anchor.fm/revisegcseenglishlit/episodes/My-Last-Duchess-by-Robert-Browning-Structure--Form--Voice-and-Comparisons---AQA-GCSE-Power-and-Conflict-Revision-enkj09
16,Biographics: History One Life at a Time,37 - Marie Antoinette - Her Own Undoing,5,17,"Her hair was piled atop her head, often ornamented with jewels or trinkets. Her face was always made up, and she wore the finest gowns and jewelry. At only 19 years old, she was a Queen, and in the tumultuous times in which she lived,  she soon became a symbol of all that was wrong with French royalty.    .",https://anchor.fm/biographics/episodes/353---Prince---Music-Royalty-ejfhrv
17,Biographics: History One Life at a Time,87 - Elizabeth Bathory - The Blood Countess,5,18,"She is one of the earliest serial killers in recorded history – the original sado-masochistic femme fatal. She stands out as a shocking lesson in just how dangerous a sadistic, demented powerful woman can be. The passing of the centuries has left us with an incomplete picture of the true nature of her crimes.  .",https://anchor.fm/biographics/episodes/353---Prince---Music-Royalty-ejfhrv
18,History of Persia,Episode 16: Pharaoh Cambyses,6,38,"In 525 BCE, the Persian army crossed into Egypt, in what seems to have been the culmination of years of antagonism between the the new empire and the last great kingdom of the Near East. To accomplish his task, the new King of Kings, Cambyses, mustered all his resources. He assembled a huge land army, constructed Persia's first navy, and formed alliances from the Greek islands in the Aegean to tribal kings in Arabia. Over the following three years, he established and consolidated Persian rule over the kingdom of the two lands, bringing one of the oldest civilizations in the world under Persian domination.   Archaeologists May Have Found 2,500-year-old Persian Military Base in Northern Israel The History of Egypt Podcast   Apple  Spotify  .",https://anchor.fm/history-of-perisa/episodes/67-The-Empire-of-Artaxerxes-e1ga5m7
19,Unexplained Mysteries,“Easter Island” Pt. 2 - How Did They Get There?,6,44,"Easter Island is an isolated spot in the Pacific Ocean that’s closest neighbor is over 1,000 miles away. How did ancient people arrive in such a remote place? Why did they construct the now iconic moai heads, and how did they transport these enormous statues across the island? .",
20,Unexplained Mysteries,Finding Cleopatra’s Tomb,6,51,"She is likely the most famous historical figure from Ancient Egypt. And yet, thousands of years after Cleopatra's reign, her final resting place has yet to be discovered. Archaeologist and historians struggle to find evidence surrounding her death and who and what she was buried with.  Sponsors! BetterHelp - Unexplained Mysteries listeners get 10% off the first month with discount code UNEXPLAINED..",
21,Breaking up with yo-yo dieting | Binge Eating | Nutrition | Motivation | Self-Love | Mindset,56: Guiding principles for long term weight loss,7,18,"If you have ever lost weight and gained it back? You know the frustration. I used to think that once I lost weight, I could eat whatever I wanted (the highly processed foods that were hyper-palatable). I was wrong. I truly didn’t know some of the basics for long term weight management and weight loss. Today I talk about some guiding principles to help you lose weight and keep it off for the long haul.  In this podcast we discuss some of the guiding principles to long term weight loss.  Guiding Principles • Tuning in • Drink water • Better is better • Whole food most of the time • Creating a healthy life  This podcast is not meant to diagnose, treat, prevent or cure any medical or mental health condition. Check with your health care provider before making changes. .",https://anchor.fm/relationshippsych/episodes/78--3-Tips-for-Peaceful-Conversations-e1gdg7t
22,Revise - A Level Chemistry Revision,A Level Chemistry - Increasing Rates,7,7,"Scream if you wanna go faster! Jono goes over how the rates of chemical reactions can be increased for your A Level Chemistry exam. In this episode, he will discuss how temperature, pressure, concentration, and catalysts can affect the rates of reactions. Ideal for preparing you for your A Level Chemistry exam.",https://anchor.fm/revisealevelchemistry/episodes/Shapes-of-Molecules---A-Level-Chemistry-eo00nb
23,Jeremy Scott Fitness ,Fat Loss: Cardio or Weights?,7,31,Answering the question on which is better for Fat Loss aerobic or anaerobic work? I share my opinion on where to best spend your time effort and energy if you want to shed fat.,https://anchor.fm/jeremyscottfitness/episodes/Attitude-is-Free-with-Brett-Hardt-Sr-e1g90qi
24,Marvel Movie News,DC/Marvel Movie News Crossover Holiday Special!,8,53,Popcorn Talk Network is comprised of the leading members and personalities of the film press and community including E!’s Maria Menounos. Popcorn Talk Network is comprised of the leading members and personalities of the film press and community including E!’s Maria Menounos. Popcorn Talk Network is comprised of the leading members and personalities of the film press and community including E!’s Maria Menounos. Current Roster or Shows: -Anatomy of a Movie -Box Office Breakdown -Meet the Movie Press -Guilty Movie Pleasures -Marvel Movie News -DC Movie News -Action Movie Anatomy -Watchalong Series!  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.,https://anchor.fm/marvelmovienews/episodes/Chris-Claremont-Guests-on-Marvel-Movie-News---MMN-282-eght7k
25,DC Movie News,DC/Marvel Movie News Crossover Holiday Special!,8,53,Popcorn Talk Network is comprised of the leading members and personalities of the film press and community including E!’s Maria Menounos. Popcorn Talk Network is comprised of the leading members and personalities of the film press and community including E!’s Maria Menounos. Popcorn Talk Network is comprised of the leading members and personalities of the film press and community including E!’s Maria Menounos. Current Roster or Shows: -Anatomy of a Movie -Box Office Breakdown -Meet the Movie Press -Guilty Movie Pleasures -Marvel Movie News -DC Movie News -Action Movie Anatomy -Watchalong Series!  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.,https://anchor.fm/dcmovienews/episodes/The-Batman-Gotham-PD-Series-on-HBO-MAX--Javicia-Leslie-is-Batwoman--DC-Movie-News-egj20l
26,Marvel Movie News,Spidey’s Back! What Will Spider-Man’s Final MCU Chapter Look Like? - MMN #248,8,47,Popcorn Talk Network is comprised of the leading members and personalities of the film press and community including E!’s Maria Menounos. Popcorn Talk Network is comprised of the leading members and personalities of the film press and community including E!’s Maria Menounos. Current Roster or Shows: -Anatomy of a Movie -Box Office Breakdown -Meet the Movie Press -Guilty Movie Pleasures -Marvel Movie News -DC Movie News -Action Movie Anatomy -Watchalong Series!  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.,https://anchor.fm/marvelmovienews/episodes/Chris-Claremont-Guests-on-Marvel-Movie-News---MMN-282-eght7k
27,Dr Berg’s Healthy Keto and Intermittent Fasting Podcast,8 Factors Which Determine If You Will Absorb Zinc...or Not,9,6,"It's free and very enlightening.  I want to talk a little bit about zinc, and the eight factors that determine if you can absorb zinc or not. You might have enough zinc in your diet, but can you absorb it? Could you be zinc deficient?    What is Zinc?    Zinc is one of the most important trace minerals and nutrients that you could have. Zinc is involved with your:  • Metabolism • Immune system • Protein metabolism • Enzymes • Neuron function • And more   Zinc deficiency symptoms:  • Problems with your nails • Hair loss • Skin problems • GI problems • A testosterone deficiency • Problems with your immune system   Why you might be not absorbing zinc:  1. Low Stomach Acid  2. Phytate (whole grains/brown rice) 3. Cadmium (tobacco plant/seafood) 4. Low Protein Diets (vegan) 5. IBS (Crohn's, celiac) 6. High Sugar 7. Bariatric Surgery 8. High Iron/Calcium   Foods rich in zinc:  • Oysters • Meat • Nuts • Seafood  Dr. Eric Berg DC Bio: Dr. Berg, 51 years of age is a chiropractor who specializes in weight loss through nutritional & natural methods. His private practice is located in Alexandria, Virginia. government & the Justice Department, ambassadors, medical doctors, high-level executives of prominent corporations, scientists, engineers, professors, and other clients from all walks of life. He is the author of The 7 Principles of Fat Burning.  ABOUT DR.",https://anchor.fm/drberg/episodes/20-Signs-of-TOO-MUCH-Stress---Dr--Berg-e1gep2g
28,Dr Berg’s Healthy Keto and Intermittent Fasting Podcast,Reasons for High Blood Sugars in the Morning,9,6,"It's free and very enlightening.  In this podcast, we’re going to talk about the 4 reasons for high blood sugars in the morning.  This condition is called the dawn phenomenon. It can happen if you are a type 1 or type 2 diabetic, or if you have insulin resistance really bad.  Causes of elevated morning blood sugar: 1. Spike in Cortisol - Normally between 12 and 3 am, you have higher insulin sensitivity in the liver, so the blood sugar works a lot better. But, cortisol which mobilizes glucose for action and stress, peaks between 6 and 9 in the morning.  2. Type 1 diabetes – There’s a growth hormone spike that can mobilize the blood sugar. 3. Type 2 diabetes – The liver is making glucose called gluconeogenesis. Also, glucagon and epinephrine are hormones that can spike blood sugar. If you are a type 2 diabetic for a long period of time, you are eventually going to lose the ability to produce insulin. 4. Consuming a lot of carbs the night before.   What to do if you have high blood sugar in the morning: • Give it time – Do the healthy ketogenic diet and intermittent fasting  • Exercise  • Avoid carbs – especially the night before  • Take apple cider vinegar diluted with water the night before  Dr. Eric Berg DC Bio: Dr. Berg, 51 years of age is a chiropractor who specializes in weight loss through nutritional & natural methods. His private practice is located in Alexandria, Virginia. government & the Justice Department, ambassadors, medical doctors, high-level executives of prominent corporations, scientists, engineers, professors, and other clients from all walks of life. He is the author of The 7 Principles of Fat Burning.  ABOUT DR.",https://anchor.fm/drberg/episodes/20-Signs-of-TOO-MUCH-Stress---Dr--Berg-e1gep2g
29,Dr Berg’s Healthy Keto and Intermittent Fasting Podcast,"What Really Causes Acid Reflux, Heartburn, and GERD?",9,7,"It's free and very enlightening.  Dr. Eric Berg DC Bio: Dr. Berg, 51 years of age is a chiropractor who specializes in weight loss through nutritional & natural methods. His private practice is located in Alexandria, Virginia. government & the Justice Department, ambassadors, medical doctors, high-level executives of prominent corporations, scientists, engineers, professors, and other clients from all walks of life. He is the author of The 7 Principles of Fat Burning. ABOUT DR.",https://anchor.fm/drberg/episodes/20-Signs-of-TOO-MUCH-Stress---Dr--Berg-e1gep2g
30,The Science of Social Media,11 Thumb-Stopping Instagram Stories Design Tips ,10,10,"Instagram Stories has over 500 million daily active users, meaning half of Instagram’s overall user base create or view stories every single day. This means you have the potential to connect with your Instagram audience in two different places on the app — the feed and stories — and you don’t want to waste that opportunity with dull Stories and visuals. To help you captivate your audience in your Instagram Stories, we’re going to share some Instagram stories design tips that will have you creating high-quality visuals your followers will go back to view again and again. Every Monday (and sometimes more) we share the most cutting-edge social media marketing strategies from brands and influencers in every industry. If you're a social media team of one, business owner, marketer, or someone simply interested in social media marketing, you're sure to find something useful in each episode.  It's our hope that you'll join our 27,000+ listeners each week and rock your social media channels as a result! The Science of Social Media is proudly made by the Buffer team. Feel free to get in touch with us for any thoughts, ideas, or feedback.",https://anchor.fm/the-science-of-social-media/episodes/How-to-Build-an-Audience-on-Twitter-with-Matthew-Kobach-en8k5g
31,Instagram Marketing Secrets,5: Using Hashtags on Instagram Stories to Test the Strength of Hashtags in your Market,10,14,"Did you know you can use hashtags on your Instagram stories? Well you can, and it’s a brilliant way to get people who don’t follow you to view your story and to measure just how many followers there are on each hashtag. Use this on your product and service promotions to get those extra website clicks and sales from people who don’t currently follow you.  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.",
32,The Science of Social Media,The Science Behind the Best Instagram Bios,10,13,"Small-but-powerful. Front-and-center. Instagram bios are well worth the time and investment to write well and test often. They're one of the most visible descriptions of who you are and what you're about! We’ll sort out all the best practices, design tips, and strategies that the top brands and profiles are using today. Every Monday (and sometimes more) we share the most cutting-edge social media marketing strategies from brands and influencers in every industry. If you're a social media team of one, business owner, marketer, or someone simply interested in social media marketing, you're sure to find something useful in each episode.  It's our hope that you'll join our 27,000+ listeners each week and rock your social media channels as a result! The Science of Social Media is proudly made by the Buffer team. Feel free to get in touch with us for any thoughts, ideas, or feedback.",https://anchor.fm/the-science-of-social-media/episodes/How-to-Build-an-Audience-on-Twitter-with-Matthew-Kobach-en8k5g
33,My Culture Mind! w/ Seanie Boi,"Señorita MV (Shawn Mendes, Camila Cabello) Review/ Thoughts--- Music Mondays",11,16,"Today we have a hot and steamy music video to talk about! And that MV is called Señorita by Shawn Mendes and Camila Cabello. ""Just a friends"" lol That's a good joke lol Anyways, hope you enjoy today's episode!  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.",https://anchor.fm/seanie-boi/episodes/Goodbye-yall--It-has-been-fun-e1bbq90
34,Throwback Country Music ,THE BEST OF: THE DIAMOND RIO INTERVIEW,11,26,,https://anchor.fm/throwbackcountrymusic/episodes/BONUS-SHOW-Sittin-on-the-front-porch-talking-90s-Country-eoadks
35,Throwback Country Music ,RESTLESS HEART-LARRY STEWART,11,34,"Restless Heart lead singer Larry Stewart can remember the exact moment and place his life began to change forever. “I was driving east on I-40 from West Nashville into town to an appointment,” he recalls. “Back then, I was listening to what we were doing in my Jeep Cherokee every day. “It didn’t sink in because I had it in the tape deck for days, then I realized ‘That’s the radio. It’s WSIX.’ I pulled over on the shoulder around White Bridge Road and sat there with my car idling. It was like yesterday.” ‘Yesterday’ has come full circle for Restless Heart. Then one of Nashville’s newest acts, the band is celebrating their 30th Anniversary in 2013, and Dave Innis enjoys the musical ride as much as ever. “I think it’s been an amazing legacy, and it’s been such an honor to have been part of an organization that is still together doing it after thirty years with the same five original guys, and it’s more fun than ever.” John Dittrich, Greg Jennings, Paul Gregg, Dave Innis, and Larry Stewart – the men who make up Restless Heart have enjoyed one of the most successful careers in Country Music history, placing over 25 singles on the charts – with six consecutive #1 hits, four of their albums have been certified Gold by the RIAA, and they have won a wide range of awards from many organizations – including the Academy of Country Music’s Top Vocal Group trophy. Those stats aside, Innis feels that their career goes much deeper than that. “In the past few years, we have really started to branch out in the community, particularly our work with the Nashville Rescue Mission. We have hosted an event called Restless Heart & Friends – Music With A Mission that we do at the Schermerhorn Center with the Nashville Symphony. We invite a lot of our friends in the industry across all genres to join us, and all of the money we raise goes to the Nashville Rescue Mission. The other thing that stands out is the tours we have done in support of the men and women of the Armed Forces. We did some tours with the Air Force, going all over the world.” Those audiences have sung along with their record-shattering string of hits, such as “I’ll Still Be Loving You,” “Fast Movin’ Train” and “When She Cries.” Stewart says it’s humbling to know Restless Heart has made an impact. “I’m proud of the fact that we get to hear stories from young artists and musicians that we might have made an impression or inspiring them to come to town – having number one records, and hearing the stories of what they meant to people. To know that you have been a part of something that made a difference, the power of music, the power of a song. To be a part of something that made a mark. However big or small of a mark Restless Heart made, it’s still a mark. To be able to appreciate and feel blessed that we got lucky enough to get together. I feel like it was something that was meant to be.” And, the story is far from over, as Stewart says Restless Heart still has a lot of history to make. “We are still at the top of our game when it comes to singing and playing together. We’ve got some projects we’re working on, and we want to put the Restless Heart brand out to music fans again – to let them know we’re still here and making good music. We’re really looking forward, not trying to rest on our past laurels, we really want to do some new music.",https://anchor.fm/throwbackcountrymusic/episodes/BONUS-SHOW-Sittin-on-the-front-porch-talking-90s-Country-eoadks
36,Science Quantum Physics Through Ayurveda Flow & Expansion.,Nothing Changes Until You Actively Allow It To Be So - Becoming A Different You ,12,32,"What does it mean when the inner self shares the knowledge that says ‘ I am not who I once was’. because this is an amazing gift to the ever expanding being of light within soundless to sound frequency vibration on a physical level in form that is ready to constantly change, creating a new you. This can be a constant natural flow along a journey. So why is this not showing up in your social media? because it is not about being liked, or how many followers you have or have not, it is on a different energetic stream within subtle frequencies through infinite worm holes or vortexes beyond that currency, however all is always an energetic flow of infinite currencies within consciousness itself. What you ‘think’ you know right now, has already transcended into something else, therefore to allow yourself to self realise that to ‘know nothing’ is to be open to remembering, learning, experiencing, expressing differently moment to moment, because you have ceased to be so heavily invested in ensuring that you know something, feeling the need to prove it over and over again. Instead you experience through a state of complete presence, a flow that provides physical sense of peace, allowing constant at easement to simply BE. .",https://anchor.fm/simplyblooming/episodes/One-Breath-Triggers-An-Eternal-Infinite-Signal-In-Any-Given-Nano-Second-e1fvkbs
37,Science Quantum Physics Through Ayurveda Flow & Expansion.,Frequencies - Attuned - Changing - Thriving,12,43,"What series of frequencies are you? Tuning, tapping into different frequencies can transform yourself, create a different life experience and self expressiveness that you will only experience by surrendering, allowing the not knowing into your existence and breathing light within effortlessly. In every nano second and even less than that as we ourselves come from the timelessness of existence each being has the opportunity to become a frequency of light soundless to sound vibration that creates effortlessly, but most importantly knows creation through saucha and becomes the living embodied entity within infinite formlessness to forms. In 20/20 we are shifting again into a very different sense of streaming through a sound wave of a natural flow not fully in resonance in this time continuum. Only if you feel in resonance will the subsequent podcasts and patreon shares become relevant. Happy expansion to all! .",https://anchor.fm/simplyblooming/episodes/One-Breath-Triggers-An-Eternal-Infinite-Signal-In-Any-Given-Nano-Second-e1fvkbs
38,Science Quantum Physics Through Ayurveda Flow & Expansion.,Quantum Physics In Design Sound Frequency Vibration,12,21,"It is well documented  and very much the flavour of an every expanding awareness that we are in an era that is more and more desiring to open through a scientific flow within quantum physics - spirit - and for all that we are in resonance of and within the very energetic streaming of soundless to sound frequency vibration.  In the moment you ‘think’ you know something, that very something is already shifted and you immediately realise that you no nothing once again and this is exciting, liberating and is synergistically exhilaratingly providing for some a sense of complete freedom. A place where there is no fear, therefore you are openly, consciously desiring to continue along the journey of expansion that is always evolving in form. This podcast touches base on one of our projects we are constructing and is still in the design prototype phase of the biomimicry on one level of the Desert Sturt Pea Flower but also in an alternate frequency reality a dwelling that is already manifested and being embodied by other worldly resonances in a different reality of sound frequency vibration, it is quantum physics in motion. You may be having amazingly insightful experiences yourself only to self realise that you are constantly moving on from each idea, belief system and constantly recognising the state of no nothing so you can yet again become something and cycle again to being open and no nothing as you continue along the path of expansion. Others may be at that point where you are creating, manifesting or in the movement of manifesting what you are desiring to be the creation of, excited by its potential in your life, we love hearing about your journey, so feel free to share as the more happy, openly expanding harmonic soundless to sound frequency vibrations are share the more we rise up and keep knowing nothing so we keep being open to growing, blossoming and continued expansion. Awesome vibes to you all. xox  Love in light Budai Team .",https://anchor.fm/simplyblooming/episodes/One-Breath-Triggers-An-Eternal-Infinite-Signal-In-Any-Given-Nano-Second-e1fvkbs
39,Straight-Up Sports ,Week 4 8-Man Review ,13,18,Week 4 is in the books. Catch up on the action here.  .,https://anchor.fm/devin-lynn-albertson/episodes/Missouri-8-Man-Football-Week-5-RecapWeek-6-Preview-e1849v5
40,Straight-Up Sports ,Missouri 8-Man Football Week 9 Review,13,15,Playoffs?! .,https://anchor.fm/devin-lynn-albertson/episodes/Missouri-8-Man-Football-Week-5-RecapWeek-6-Preview-e1849v5
41,Straight-Up Sports ,Missouri 8-Man Recap,13,19,Enjoy and share! .,https://anchor.fm/devin-lynn-albertson/episodes/Missouri-8-Man-Football-Week-5-RecapWeek-6-Preview-e1849v5
42,The Married to Medicine After Show Podcast,"""Bus-Ted Cabo"" Season 7 Episode 11 'Married to Medicine' Review",14,44,,https://anchor.fm/marriedtomedicine/episodes/Married-to-Medicine-LA-S2-E9-Recap--After-Show-The-Married-To-Married-LA--Designer-Labels--Drag-Queens-and-Best-Dancer-egdhel
43,Laguna Biotch: A Recap & Pop Culture Podcast ,More Than Friends,14,23,"This is the episode where you realize how truly awful Jessica and Jason are together, and now sneaky Alex M can be.",https://anchor.fm/lagunabiotch/episodes/117--Life-Update-e1g1jlk
44,eating alone in my car,blanket of bread,14,35,repost of 1/28 episode (first one messed up) .,https://anchor.fm/eating-alone-in-my-car/episodes/peanut-butter-cups-fake-e1g0tj3
45,Everyday Driver Car Debate,"443: Proxy Hatch, More Than Fine, Car Fancy",15,56,"The guys bring you more car conclusions, of enthusiasts who discovered driving in a new way, or bought a car they love. They discuss inexpensive, long-commute luxury cars for Damian D., and social media questions that cover Tesla’s direct to consumer business model, sports cars in handicap parking spaces, and what are great/not great things about being a car enthusiast? Season 5 is available on Amazon Prime and Vimeo worldwide. Thanks for listening and share the podcast with your fellow car enthusiast friends! .",https://anchor.fm/everydaydriver/episodes/688-The-Definitive-Answer--All-The-Dollars--Car-Number-9-e1gdf17
46,Everyday Driver Car Debate,"441: How To Be Worse, End Of Nostalgia, Forbidden Fruit",15,59,"Does a good car make you better? Does a bad car make you worse? The guys explore this for Topic Tuesday, and discuss modern options for Joel R.’s dad in Minnesota, who has a 1966 Corvair. They also take social media questions that include the meaning of chassis tuning, engine development consolidation by Geely and Volvo, and what would they change for Pilgrimage 2020? Season 5 is available on Amazon Prime and Vimeo worldwide. Thanks for listening and share the podcast with your fellow car enthusiast friends! .",https://anchor.fm/everydaydriver/episodes/688-The-Definitive-Answer--All-The-Dollars--Car-Number-9-e1gdf17
47,Everyday Driver Car Debate,"437: I’d Rather Commute, Miata Or Chair, Lotus Earplugs",15,61,"How bad is it when your car constantly reminds you of all the fun you’re not having? The Topic Tuesday covers the question of your love for a car weight against your ability to drive it as intended. Sean in LA needs saving from a monster commute, and the guys decide on drive homework for him. Social media questions include whether to buy a ‘heart’ car or ‘smart’ car, driving hard vs. wear and tear, and will OEMs still build cars for driving enthusiasts? Season 5 is now airing on the Motor Trend network through September 2019, Season 4 is available on Amazon Prime and Vimeo worldwide. Thanks for listening and share the podcast with your fellow car enthusiast friends! .",https://anchor.fm/everydaydriver/episodes/688-The-Definitive-Answer--All-The-Dollars--Car-Number-9-e1gdf17
48,Evolve Church,The Kingdom With Healing,16,39,,https://anchor.fm/kenneth00/episodes/Im-Saved-Whats-Next-Pt--2-e1ghsvq
49,Evolve Church,Blessin' Beggin',16,38,,https://anchor.fm/kenneth00/episodes/Im-Saved-Whats-Next-Pt--2-e1ghsvq
50,Faith Talks with Emily Preston,041 - You Are The Boss Of The Devil: The Believer's Authority Part 3,16,37,"Part 3 ""A believer who is fully conscious of the divine power that is backing him up, and therefore of his own authority will face anything that is from the enemy without fear or hesitation."" John A. MacMillan - The Authority of the Believer So far we've learned WHY God's given us authority and WHEN we were given authority, now in this episode we begin discussing HOW we exercise our authority. What are the tools God has given us to maintain our position of authority over the enemy and anything that is trying to steal, kill, or destroy from us? Once we learn about who we are, what we have, and how to use what we have, we can begin walking in the dominion and authority God intends for us to walk in! .",https://anchor.fm/faith-talks/episodes/076---Back-To-Basics-Part-4-e1ebqlj
